LABEL,INDEX,nr_pix,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,left2tile,right2tile,verticalness,top2tile,bottom2tile,horizontalness,zero_bottom_right
c,3,28,2,8,3,3,15,12,6,5,0.392857143,11,12,0.821428571,0
c,4,31,4,12,3,2,14,15,2,2,0.129032258,16,16,1.032258065,1
c,5,28,1,10,4,2,11,14,2,2,0.142857143,15,15,1.071428571,0
c,6,28,2,9,3,3,15,12,5,5,0.357142857,13,13,0.928571429,0
c,7,29,1,11,3,2,14,13,4,4,0.275862069,15,15,1.034482759,0
c,8,31,1,12,4,1,15,15,4,4,0.258064516,15,15,0.967741935,0
d,1,37,5,2,5,5,19,8,21,18,1.054054054,4,3,0.189189189,1
d,2,37,6,6,5,3,16,9,15,13,0.756756757,6,6,0.324324324,1
d,3,37,6,6,5,3,16,9,15,13,0.756756757,6,6,0.324324324,1
d,4,32,3,6,5,2,15,8,16,14,0.9375,5,5,0.3125,1
d,5,38,4,4,5,5,16,9,12,14,0.684210526,7,7,0.368421053,4
d,6,35,6,4,6,4,14,8,14,10,0.685714286,4,4,0.228571429,1
d,7,38,5,3,6,6,15,9,15,12,0.710526316,6,7,0.342105263,3
d,8,46,5,4,8,6,18,10,21,16,0.804347826,7,6,0.282608696,2
e,1,47,5,0,6,14,15,14,7,9,0.340425532,22,22,0.936170213,1
e,2,39,4,0,4,12,12,12,7,8,0.384615385,20,21,1.051282051,1
e,3,40,6,0,5,11,12,11,5,8,0.325,18,17,0.875,2
